X(mm),Y(mm),Z(mm)
-7.756486220795858344e+01,-3.527711938408879178e+01,1.558599071136439704e+02
-7.753505587448115932e+01,-3.527683087482576951e+01,1.558602536984858205e+02
-7.750512489696919260e+01,-3.528245011615336324e+01,1.558604433057829795e+02
-7.747532101973833107e+01,-3.528230704610302837e+01,1.558607859632851955e+02
-7.744559564613776104e+01,-3.527832011773381993e+01,1.558612307872136853e+02
-7.741584600711534847e+01,-3.527545516492359923e+01,1.558616458053637075e+02
-7.738622170734862493e+01,-3.526694785107866181e+01,1.558622106777126248e+02
-7.735651072150824348e+01,-3.526218282916815383e+01,1.558626761997844312e+02
-7.732661533256087694e+01,-3.526610758395060685e+01,1.558629108339050617e+02
-7.729641013840962671e+01,-3.528437373157743906e+01,1.558627644784481276e+02
-7.726637859820220910e+01,-3.529439799036084224e+01,1.558628371246820166e+02
-7.723673871023167692e+01,-3.528631317962318548e+01,1.558633908463808382e+02
-7.720714474224563162e+01,-3.527613434291133387e+01,1.558640001896280012e+02
-7.717746633524259892e+01,-3.526988480700408957e+01,1.558645051430993647e+02
-7.714774028574323950e+01,-3.526583079742033533e+01,1.558649517732470713e+02
-7.711790340130178834e+01,-3.526666429160317051e+01,1.558652686230191762e+02
-7.708795577832582069e+01,-3.527273391115599566e+01,1.558654463443170926e+02
-7.705813451982137963e+01,-3.527306642104083778e+01,1.558657764484940458e+02
-7.702843589315223483e+01,-3.526758792044358870e+01,1.558662609593618527e+02
-7.699857212710149668e+01,-3.526972353575339980e+01,1.558665432031583009e+02
-7.696879368974634872e+01,-3.526782583104880331e+01,1.558669326155077215e+02
-7.693898474795665265e+01,-3.526753267076196607e+01,1.558672793547018784e+02
-7.690892397730637242e+01,-3.527864694103343624e+01,1.558673231086002033e+02
-7.687898577523510824e+01,-3.528430339002697025e+01,1.558675118004425428e+02
-7.684931735095256045e+01,-3.527716258808855088e+01,1.558680405364382864e+02
-7.681966824864773002e+01,-3.526923906665884800e+01,1.558685900385111722e+02
-7.679008185223085547e+01,-3.525828409772535110e+01,1.558692201048050379e+02
-7.676053556964626523e+01,-3.524531118101581484e+01,1.558699038188973987e+02
-7.673060229812628563e+01,-3.525054056929204194e+01,1.558701039047455765e+02
-7.670063152509497684e+01,-3.525756619428332783e+01,1.558702562574618184e+02
-7.667084550041316504e+01,-3.525578386233081574e+01,1.558706426627719281e+02
-7.664106767052983571e+01,-3.525371753508103723e+01,1.558710365892070797e+02
-7.661122194448712719e+01,-3.525470573466056123e+01,1.558713493916391428e+02
-7.658119209020739504e+01,-3.526445117437990717e+01,1.558714294942116680e+02
-7.655130993829466490e+01,-3.526714790271386590e+01,1.558716969028490666e+02
-7.652165740145626671e+01,-3.525900022287635238e+01,1.558722524539480219e+02
-7.649178978955507091e+01,-3.526091889342784924e+01,1.558725405580390770e+02
-7.646219425214353294e+01,-3.525015063539186855e+01,1.558731657222870695e+02
-7.643223050627634052e+01,-3.525657380909149197e+01,1.558733341476254850e+02
-7.640201018547925571e+01,-3.527520137748427942e+01,1.558731782739690175e+02
-7.637249421580695241e+01,-3.526042733638666249e+01,1.558739099339608742e+02
-7.634280821896410885e+01,-3.525369945691380025e+01,1.558744277987350415e+02
-7.631289944845994455e+01,-3.525765222392786313e+01,1.558746618339374947e+02
-7.628296148462035831e+01,-3.526277328634613184e+01,1.558748648774880508e+02
-7.625284555190259539e+01,-3.527622002870261042e+01,1.558748467218524354e+02
-7.622305835267215457e+01,-3.527437535314324890e+01,1.558752348120291913e+02
-7.619342282582253745e+01,-3.526513543848518140e+01,1.558758194540008049e+02
-7.616359211776997995e+01,-3.526518630340962090e+01,1.558761572168746738e+02
-7.613374151681418311e+01,-3.526604527676685308e+01,1.558764735394511547e+02
-7.610395987162014819e+01,-3.526372724863266228e+01,1.558768742576910995e+02
-7.607439010059374596e+01,-3.525115087374062739e+01,1.558775476070024979e+02
-7.604469299523823622e+01,-3.524479223340400580e+01,1.558780556982766541e+02
-7.601487702462789287e+01,-3.524400723949481318e+01,1.558784157040817888e+02
-7.598488370154268523e+01,-3.525152505311726969e+01,1.558785551169324606e+02
-7.595498287089223766e+01,-3.525476448640062443e+01,1.558788081872849602e+02
-7.592516696895795292e+01,-3.525394718772847824e+01,1.558791690584424714e+02
-7.589530385315271133e+01,-3.525533258713608120e+01,1.558794714091193043e+02
-7.586533560994244851e+01,-3.526160596209386000e+01,1.558796439018859701e+02
-7.583554724015107240e+01,-3.525935022665488816e+01,1.558800430264248007e+02
-7.580578595147312626e+01,-3.525570682177528425e+01,1.558804790483337968e+02
-7.577586235190318575e+01,-3.525993914311241184e+01,1.558807057569004257e+02
-7.574589541446832186e+01,-3.526608327567481638e+01,1.558808816999807618e+02
-7.571593901033736529e+01,-3.527176563460631797e+01,1.558810699040714667e+02
-7.568610005825620135e+01,-3.527193889825306883e+01,1.558814044789961883e+02
-7.565667739841327943e+01,-3.525207285016019654e+01,1.558822716015956189e+02
-7.562707629405684884e+01,-3.524061815934905439e+01,1.558829152332940566e+02
-7.559725586916418649e+01,-3.523967382737655640e+01,1.558832795617996680e+02
-7.556727657148709909e+01,-3.524636295637905903e+01,1.558834410333262213e+02
-7.553739157438326401e+01,-3.524860963256148239e+01,1.558837205407974693e+02
-7.550753521434467075e+01,-3.524934625239713881e+01,1.558840402093038051e+02
-7.547756611080956191e+01,-3.525558517062871289e+01,1.558842136356810215e+02
-7.544737437558733006e+01,-3.527226760652765591e+01,1.558841095886072878e+02
-7.541744743938838269e+01,-3.527630611262183891e+01,1.558843415315469372e+02
-7.538764865298129791e+01,-3.527434128408658154e+01,1.558847329749099515e+02
-7.535791338616613189e+01,-3.526922930184251470e+01,1.558852080754786869e+02
-7.532817877113173211e+01,-3.526405263783819777e+01,1.558856849028406089e+02
-7.529835118872182420e+01,-3.526320994972285661e+01,1.558860465875103785e+02
-7.526872889605753869e+01,-3.525251239310002660e+01,1.558866701603244564e+02
-7.523897043234673276e+01,-3.524842779954200012e+01,1.558871179789655059e+02
-7.520917785551147006e+01,-3.524590409182456341e+01,1.558875243360199647e+02
-7.517955403453414931e+01,-3.523527563450079469e+01,1.558881460735655367e+02
-7.514937383686906003e+01,-3.525137662752564438e+01,1.558880574845749436e+02
-7.511934335071453006e+01,-3.526014412291621625e+01,1.558881638143014357e+02
-7.508948807014724025e+01,-3.526066374207830023e+01,1.558884892886086959e+02
-7.505982974495755400e+01,-3.525159158308760254e+01,1.558890696920108212e+02
-7.502999286359342079e+01,-3.525101439579532325e+01,1.558894243639691695e+02
-7.500003481275869888e+01,-3.525626989266375944e+01,1.558896240315121986e+02
-7.497005980564556182e+01,-3.526248134575112658e+01,1.558897982613800366e+02
-7.494023756097266187e+01,-3.526109601264776927e+01,1.558901744343925486e+02
-7.491070433495637815e+01,-3.524579848799145054e+01,1.558909203258420177e+02
-7.488076833535551202e+01,-3.525001955684066957e+01,1.558911474770708026e+02
-7.485071911665032474e+01,-3.525982861131701185e+01,1.558912260941902446e+02
-7.482092425899530497e+01,-3.525698161289346899e+01,1.558916411450219357e+02
-7.479118312817449521e+01,-3.525172851094440318e+01,1.558921200958593261e+02
-7.476131986446084454e+01,-3.525239822609002260e+01,1.558924416366517391e+02
-7.473146249899724580e+01,-3.525259689588312995e+01,1.558927757397345317e+02
-7.470170431764731234e+01,-3.524791641483470528e+01,1.558932395316910799e+02
-7.467196750000731242e+01,-3.524227299705576399e+01,1.558937288983741212e+02
-7.464183356163219685e+01,-3.525613702571131824e+01,1.558936997594403806e+02
-7.461172093540082528e+01,-3.526869410574820307e+01,1.558937054192294340e+02
-7.458184112773801644e+01,-3.526988342736296289e+01,1.558940132167684567e+02
-7.455202070290630445e+01,-3.526821867631107921e+01,1.558943968606540977e+02
-7.452279326261933079e+01,-3.523778663173671077e+01,1.558955450521534658e+02
-7.449350170934161497e+01,-3.521017597182918735e+01,1.558966183274885395e+02
-7.446353211472681721e+01,-3.521581267782042346e+01,1.558968079055488545e+02
-7.443329002170385422e+01,-3.523449855838531164e+01,1.558966507159812807e+02
-7.440330005541356684e+01,-3.524100354949171532e+01,1.558968172457711887e+02
-7.437336565043644043e+01,-3.524495229417858155e+01,1.558970516802398265e+02
-7.434366033755954106e+01,-3.523741983211377971e+01,1.558975913365207759e+02
-7.431402516699178307e+01,-3.522653436247941983e+01,1.558982200939300355e+02
-7.428430500477892906e+01,-3.521977305183317242e+01,1.558987392434424919e+02
-7.425444898901577062e+01,-3.521968994149415977e+01,1.558990808860764616e+02
-7.422478286412761861e+01,-3.521009978118173223e+01,1.558996752664435519e+02
-7.419476623399208393e+01,-3.521791419991069461e+01,1.558998069918854412e+02
-7.416443670071647887e+01,-3.524091866088754443e+01,1.558995350095643175e+02
-7.413447592554676646e+01,-3.524578424854819758e+01,1.558997451620560923e+02
-7.410455764474818352e+01,-3.524874935729789627e+01,1.559000057857890340e+02
-7.407474300373004894e+01,-3.524644484882802686e+01,1.559004065166579380e+02
-7.404496175703481242e+01,-3.524258621328015550e+01,1.559008485360737382e+02
-7.401507600919497065e+01,-3.524368318215662299e+01,1.559011588772409596e+02
-7.398532260031190333e+01,-3.523833044678551119e+01,1.559016406389627036e+02
-7.395543640663522922e+01,-3.523944126796781262e+01,1.559019506137998974e+02
-7.392567351479645765e+01,-3.523444643162243750e+01,1.559024228875849758e+02
-7.389587077525128223e+01,-3.523149294895278416e+01,1.559028408830032504e+02
-7.386599760661326286e+01,-3.523190636842112156e+01,1.559031694080219381e+02
-7.383618550968158445e+01,-3.522930387939471331e+01,1.559035780992183788e+02
-7.380636771726766199e+01,-3.522714013150407908e+01,1.559039750919376957e+02
-7.377662262622355627e+01,-3.522103443442872361e+01,1.559044769469903713e+02
-7.374668273031977606e+01,-3.522486096479097739e+01,1.559047147206082684e+02
-7.371685847327997010e+01,-3.522280804580548619e+01,1.559051088153514968e+02
-7.368723034796499860e+01,-3.521104908903591735e+01,1.559057609120038705e+02
-7.365710014949947038e+01,-3.522408056151544287e+01,1.559057540524768228e+02
-7.362720911446619709e+01,-3.522509440624762078e+01,1.559060666824182420e+02
-7.359742069237351814e+01,-3.522125174679606374e+01,1.559065083550665349e+02
-7.356751053202383162e+01,-3.522339714934074806e+01,1.559067908638820654e+02
-7.353774196492673809e+01,-3.521831898675768002e+01,1.559072654362713308e+02
-7.350764973800548319e+01,-3.522941075134010447e+01,1.559073101511833670e+02
-7.347741667891223472e+01,-3.524766141231383898e+01,1.559071645277230118e+02
-7.344749022974333741e+01,-3.525034033852578830e+01,1.559074329172464104e+02
-7.341789890731247681e+01,-3.523662993393077159e+01,1.559081369163863826e+02
-7.338793070584506495e+01,-3.524150734255195516e+01,1.559083468363675706e+02
-7.335780911963881579e+01,-3.525381391289396049e+01,1.559083593145105908e+02
-7.332806955626416823e+01,-3.524745409519126582e+01,1.559088679200301044e+02
-7.329818767708658811e+01,-3.524800613436130448e+01,1.559091928274973498e+02
-7.326838680307953666e+01,-3.524429742650862352e+01,1.559096310502855829e+02
-7.323860261414897366e+01,-3.523998132285171891e+01,1.559100853684700496e+02
-7.320868953184630357e+01,-3.524188434130449110e+01,1.559103744091389103e+02
-7.317865767503404584e+01,-3.524994413506277624e+01,1.559104997288568484e+02
-7.314878230881816989e+01,-3.524992578119207565e+01,1.559108398552681649e+02
-7.311909583622190212e+01,-3.524070684026082745e+01,1.559114245140768844e+02
-7.308937847139149824e+01,-3.523283190861388903e+01,1.559119734894278224e+02
-7.305943920009268311e+01,-3.523603974589967436e+01,1.559122278439181173e+02
-7.302933946750370353e+01,-3.524727506014306755e+01,1.559122687954025821e+02
-7.299941452570486433e+01,-3.524969311645878633e+01,1.559125441620538197e+02
-7.296940830464548355e+01,-3.525639279627565514e+01,1.559127056567742500e+02
-7.293962916883870662e+01,-3.525155472695681880e+01,1.559131739120971645e+02
-7.291009958155272841e+01,-3.523410489045450333e+01,1.559139774684847453e+02
-7.288038525509900012e+01,-3.522588801655417967e+01,1.559145355772147070e+02
-7.285069584590186764e+01,-3.521639626897941611e+01,1.559151275837119215e+02
-7.282095409417351561e+01,-3.520960420427445570e+01,1.559156478032186897e+02
-7.279104379986230811e+01,-3.521113541784287548e+01,1.559159467807694170e+02
-7.276079546081797389e+01,-3.522979127718805614e+01,1.559157904671172901e+02
-7.273074867523409637e+01,-3.523819546661219704e+01,1.559159067228514175e+02
-7.270089958120412632e+01,-3.523664592169750875e+01,1.559162876038315630e+02
-7.267112466760691802e+01,-3.523134810671226802e+01,1.559167681375393499e+02
-7.264144322372125373e+01,-3.522148903183186519e+01,1.559173699020109041e+02
-7.261172369927048464e+01,-3.521318880566401077e+01,1.559179303046173004e+02
-7.258184836757807545e+01,-3.521295328216245935e+01,1.559182762532388438e+02
-7.255148581682259135e+01,-3.523744086306869860e+01,1.559179648818815167e+02
-7.252134022605174835e+01,-3.525078284214133362e+01,1.559179498722508299e+02
-7.249133437616353604e+01,-3.525695621643455269e+01,1.559181254736932942e+02
-7.246140970727054764e+01,-3.525918500688607793e+01,1.559184059117081631e+02
-7.243194721788040624e+01,-3.523790548555825808e+01,1.559193113841766944e+02
-7.240233810469794662e+01,-3.522395844923576647e+01,1.559200219299756895e+02
-7.237242751226276027e+01,-3.522538118780644112e+01,1.559203238192726531e+02
-7.234250872345418770e+01,-3.522708339102949537e+01,1.559206183089350191e+02
-7.231267225706375257e+01,-3.522473698676816412e+01,1.559210204112040401e+02
-7.228273007027976860e+01,-3.522756394267458546e+01,1.559212850107682016e+02
-7.225272085511112152e+01,-3.523393603916456840e+01,1.559214553224655617e+02
-7.222282747359460586e+01,-3.523429412063939736e+01,1.559217855609559535e+02
-7.219299458202102926e+01,-3.523161514890305313e+01,1.559221965391554932e+02
-7.216311022986866419e+01,-3.523159445596111539e+01,1.559225368304358028e+02
-7.213318845536332446e+01,-3.523347221801466134e+01,1.559228266470780966e+02
-7.210338593646690697e+01,-3.522904489592310284e+01,1.559232841555566438e+02
-7.207337804830032724e+01,-3.523526233783501027e+01,1.559234585986603463e+02
-7.204349609620818740e+01,-3.523500608102998655e+01,1.559238051784321044e+02
-7.201367840486778960e+01,-3.523139863214399270e+01,1.559242408775202762e+02
-7.198376023433205262e+01,-3.523293460277695743e+01,1.559245398170677674e+02
-7.195384666773266247e+01,-3.523408719536084277e+01,1.559248489831444431e+02
-7.192388709158224458e+01,-3.523784268519838747e+01,1.559250888851844081e+02
-7.189394903052567543e+01,-3.524021706589793013e+01,1.559253655719808194e+02
-7.186401647975038998e+01,-3.524251060895417709e+01,1.559256443634976108e+02
-7.183422676219423408e+01,-3.523730951922712507e+01,1.559261224721712438e+02
-7.180443620951201922e+01,-3.523216151768326654e+01,1.559265991669750235e+02
-7.177471815544988942e+01,-3.522335273086582674e+01,1.559271731880437812e+02
-7.174495494607387513e+01,-3.521669877548630723e+01,1.559276899485968784e+02
-7.171499070128992059e+01,-3.522038734059822218e+01,1.559279316980513386e+02
-7.168496108006058876e+01,-3.522751496130901216e+01,1.559280819851367994e+02
-7.165485412360744988e+01,-3.523868444952675816e+01,1.559281247836269699e+02
-7.162504063222625916e+01,-3.523457803808704369e+01,1.559285738128091623e+02
-7.159533801577798329e+01,-3.522480141051627811e+01,1.559291736074578125e+02
-7.156545408915799555e+01,-3.522415249830576300e+01,1.559295307372833292e+02
-7.153559599081306430e+01,-3.522251502986578942e+01,1.559299140779729669e+02
-7.150573478925772974e+01,-3.522074129712700596e+01,1.559303011073656933e+02
-7.147566277778719268e+01,-3.522976989642251766e+01,1.559304009086292240e+02
-7.144555757421046849e+01,-3.524075478159429764e+01,1.559304486366419269e+02
-7.141554689801633060e+01,-3.524664918694838889e+01,1.559306317724749249e+02
-7.138577270253503571e+01,-3.524036471423860917e+01,1.559311387516069942e+02
-7.135567993009962606e+01,-3.525069601774204386e+01,1.559312038616799043e+02
-7.132559141568093253e+01,-3.526067626663949284e+01,1.559312783355806857e+02
-7.129573134696065040e+01,-3.525874555804605137e+01,1.559316695608235079e+02
-7.126613267173377153e+01,-3.524332395464766421e+01,1.559324195230379360e+02
-7.123638561121821056e+01,-3.523550345087636515e+01,1.559329673766977749e+02
-7.120659785883316317e+01,-3.522986787725543678e+01,1.559334571121138424e+02
-7.117677307502059136e+01,-3.522611931208297165e+01,1.559338966753446698e+02
-7.114690180211137260e+01,-3.522465736232116740e+01,1.559342754599215937e+02
-7.111717830345217806e+01,-3.521559636900106227e+01,1.559348563048737901e+02
-7.108710465925742028e+01,-3.522466680327330124e+01,1.559349550030481169e+02
-7.105706237358434407e+01,-3.523191487688526990e+01,1.559351022046074036e+02
-7.102710371953411084e+01,-3.523493844817630105e+01,1.559353617198611062e+02
-7.099753950201356645e+01,-3.521765700893249829e+01,1.559361611549867064e+02
-7.096788222511638367e+01,-3.520496954549463453e+01,1.559368384775271466e+02
-7.093792704080438227e+01,-3.520766743313907199e+01,1.559371066853414618e+02
-7.090790218740971795e+01,-3.521419493025270242e+01,1.559372730083254339e+02
-7.087789329067173583e+01,-3.521978236771646920e+01,1.559374643541407863e+02
-7.084788809907578866e+01,-3.522505800463932957e+01,1.559376640176163278e+02
-7.081779988623402744e+01,-3.523489083188528070e+01,1.559377424406565353e+02
