X(mm),Y(mm),Z(mm)
-7.902891891450782680e+01,-3.509512489733481289e+01,1.558481426812365385e+02
-7.899886277052526395e+01,-3.510757892079229237e+01,1.558481504619964255e+02
-7.896917688076632658e+01,-3.510287844277105052e+01,1.558486139682601959e+02
-7.893917764186869590e+01,-3.511247919957536112e+01,1.558486976019244423e+02
-7.890913151277713666e+01,-3.512418301955080580e+01,1.558487253827709935e+02
-7.887991294444924506e+01,-3.509850960975448686e+01,1.558497458881686271e+02
-7.885020053425945719e+01,-3.509504181449927529e+01,1.558501766460842930e+02
-7.882019959241220874e+01,-3.510474192835764029e+01,1.558502576352153142e+02
-7.879028494340643363e+01,-3.511009279173569553e+01,1.558504542524488841e+02
-7.876058732721297417e+01,-3.510618406631323296e+01,1.558508966640971778e+02
-7.873088366321081821e+01,-3.510202602363793289e+01,1.558513458290218807e+02
-7.870102107771083411e+01,-3.510554389594022240e+01,1.558515909992737818e+02
-7.867100383931011720e+01,-3.511574276383812077e+01,1.558516588014199442e+02
-7.864127535009203029e+01,-3.511271361447911943e+01,1.558520779814559774e+02
-7.861156823023058848e+01,-3.510877025148469954e+01,1.558525214298242645e+02
-7.858190554224310631e+01,-3.510288303759686812e+01,1.558530164902673221e+02
-7.855239129746600213e+01,-3.509005847604861117e+01,1.558536958625454076e+02
-7.852246467434787291e+01,-3.509622666401538282e+01,1.558538707023605809e+02
-7.849261190838154789e+01,-3.509895275235213319e+01,1.558541369897473601e+02
-7.846286591752671313e+01,-3.509646835218173067e+01,1.558545417633080774e+02
-7.843320695643915030e+01,-3.509023935532395200e+01,1.558550459450321739e+02
-7.840328492488541201e+01,-3.509603591793831612e+01,1.558552306964120078e+02
-7.837328584172568924e+01,-3.510550779916579245e+01,1.558553177836290615e+02
-7.834367594676632507e+01,-3.509696325412554074e+01,1.558558834904359571e+02
-7.831390141277509542e+01,-3.509586630164433529e+01,1.558562513891927779e+02
-7.828413088054709590e+01,-3.509445999339664013e+01,1.558566275366900413e+02
-7.825432819303455290e+01,-3.509475513420836279e+01,1.558569584316589101e+02
-7.822440891832094678e+01,-3.510030244537681909e+01,1.558571498344562656e+02
-7.819455287941119082e+01,-3.510249764466944811e+01,1.558574303928828897e+02
-7.816474308854405706e+01,-3.510329838744448239e+01,1.558577478127533311e+02
-7.813497922296427589e+01,-3.510134494399873262e+01,1.558581385538741415e+02
-7.810537144317997615e+01,-3.509253704673756147e+01,1.558587112974535671e+02
-7.807556961173294496e+01,-3.509270983039069591e+01,1.558590454632463320e+02
-7.804552158837071829e+01,-3.510370339274378182e+01,1.558590923085663746e+02
