X(mm),Y(mm),Z(mm)
-7.601970618255940337e+01,-3.501473627042076942e+01,1.558845078599065630e+02
-7.598967946324326306e+01,-3.502366733410173083e+01,1.558846097613297559e+02
-7.595983583102973569e+01,-3.502419335133504319e+01,1.558849349316734845e+02
-7.593011048856952527e+01,-3.501880350320778490e+01,1.558854173693673886e+02
-7.590033692321580361e+01,-3.501569039320902732e+01,1.558858393129406750e+02
-7.587032054275825033e+01,-3.502415509425524220e+01,1.558859536006219741e+02
-7.584054299889014317e+01,-3.502132831099160626e+01,1.558863679126291117e+02
-7.581081946923062276e+01,-3.501574906109183871e+01,1.558868554078244131e+02
-7.578073976862226857e+01,-3.502729647453297446e+01,1.558868877637888772e+02
-7.575060185928114720e+01,-3.504155247436803933e+01,1.558868481607369745e+02
-7.572080094806345585e+01,-3.503977867685065917e+01,1.558872345064633862e+02
-7.569096686513951511e+01,-3.503948501794693726e+01,1.558875815448399180e+02
-7.566123329427475142e+01,-3.503427062714796847e+01,1.558880593718361922e+02
-7.563147183950262331e+01,-3.503048324208210573e+01,1.558884992559310945e+02
-7.560175718521524857e+01,-3.502449291414828281e+01,1.558889976717693173e+02
-7.557208405101943072e+01,-3.501634811840600747e+01,1.558895533797003452e+02
-7.554258003087015538e+01,-3.500010501732754165e+01,1.558903242912711562e+02
-7.551317507844100874e+01,-3.497903093527184382e+01,1.558912236015415829e+02
-7.548263780933514511e+01,-3.501234960636048044e+01,1.558906774433331179e+02
-7.545243176444245137e+01,-3.502968638763791631e+01,1.558905560150789711e+02
-7.542229719129706211e+01,-3.504363561088127454e+01,1.558905245991828110e+02
-7.539236165580661009e+01,-3.504788408376665387e+01,1.558907510103972527e+02
-7.536262522563669108e+01,-3.504277352307420301e+01,1.558912260860778076e+02
-7.533280628228256148e+01,-3.504154234678210855e+01,1.558915980884133035e+02
-7.530296739660526839e+01,-3.504113092965108223e+01,1.558919483386419245e+02
-7.527322209878929016e+01,-3.503631127247410149e+01,1.558924157156282035e+02
-7.524347030785781953e+01,-3.503162321959258207e+01,1.558928796379468622e+02
-7.521364020159894892e+01,-3.503085384620782605e+01,1.558932393856445628e+02
-7.518384153045225560e+01,-3.502834795722884564e+01,1.558936453342376751e+02
-7.515411752781395194e+01,-3.502253755176457872e+01,1.558941390323939231e+02
-7.512435592247750549e+01,-3.501820041303971465e+01,1.558945936578174383e+02
-7.509435845886709160e+01,-3.502537705827045045e+01,1.558947422649114287e+02
-7.506465382414565113e+01,-3.501837966788142609e+01,1.558952675675091939e+02
-7.503524183558006655e+01,-3.499720573865418771e+01,1.558961696348027317e+02
-7.500504950200007670e+01,-3.501377878480670347e+01,1.558960685274140019e+02
-7.497508250081118319e+01,-3.501926975228224137e+01,1.558962619834321117e+02
-7.494540204649368320e+01,-3.501105298444378633e+01,1.558968197042472923e+02
-7.491555060388454024e+01,-3.501111488686374429e+01,1.558971574069095993e+02
-7.488565292137549534e+01,-3.501333365166314593e+01,1.558974378069341071e+02
-7.485571399892090483e+01,-3.501732133825648674e+01,1.558976712486754650e+02
-7.482602213980409545e+01,-3.500958020358142164e+01,1.558982163467955502e+02
-7.479617268235976724e+01,-3.500944581786330190e+01,1.558985592896322316e+02
-7.476610879286674560e+01,-3.501956467879283252e+01,1.558986297672172157e+02
-7.473605058953407365e+01,-3.502959809542765868e+01,1.558987024710334879e+02
-7.470638851525164625e+01,-3.502020119874974569e+01,1.558992916237001225e+02
-7.467663285003862939e+01,-3.501521962727385784e+01,1.558997634596816795e+02
-7.464674953268698232e+01,-3.501660247253614955e+01,1.559000661084972137e+02
-7.461690277505512370e+01,-3.501619791654762537e+01,1.559004162642609117e+02
-7.458703364845858630e+01,-3.501681177074001994e+01,1.559007393694101893e+02
-7.455715524157707819e+01,-3.501778126756688891e+01,1.559010530448155691e+02
-7.452731195012590604e+01,-3.501707419593342507e+01,1.559014112720157925e+02
-7.449722287446513747e+01,-3.502839178369883655e+01,1.559014498964872644e+02
-7.446731899502488261e+01,-3.503061065239962346e+01,1.559017303641750516e+02
-7.443748863314256425e+01,-3.502922466543057567e+01,1.559021066469979928e+02
-7.440752364652418294e+01,-3.503441103888721386e+01,1.559023082466789560e+02
-7.437744606970947814e+01,-3.504517214705563077e+01,1.559023616603753908e+02
-7.434778608476575812e+01,-3.503544947792938302e+01,1.559029595236764578e+02
-7.431816806473239012e+01,-3.502349821511460704e+01,1.559036166614255592e+02
-7.428846236623503785e+01,-3.501588153364790656e+01,1.559041585801230951e+02
-7.425855935160286947e+01,-3.501796185889305946e+01,1.559044427525112155e+02
-7.422870174733346005e+01,-3.501791294319249914e+01,1.559047834964008246e+02
-7.419867731735158145e+01,-3.502590066698121518e+01,1.559049106639781712e+02
-7.416875189046548655e+01,-3.502899484067302893e+01,1.559051679085501121e+02
-7.413901016348519590e+01,-3.502306164790835652e+01,1.559056651002919693e+02
-7.410931000922082035e+01,-3.501492756991013522e+01,1.559062208280404036e+02
-7.407946124835470414e+01,-3.501412810568130851e+01,1.559065815945857025e+02
-7.404966450275465206e+01,-3.501103537983976821e+01,1.559070032551546774e+02
-7.401976840162141968e+01,-3.501249220448184474e+01,1.559073040658168168e+02
