X(mm),Y(mm),Z(mm)
-7.765833728616959775e+01,-3.509044929903767240e+01,1.558638493239476759e+02
-7.762853505642922869e+01,-3.509015804691789242e+01,1.558641959356762641e+02
-7.759874102925780903e+01,-3.508923882549824214e+01,1.558645592908358708e+02
-7.756898764001127233e+01,-3.508663881005180230e+01,1.558649672483014967e+02
-7.753896862334596563e+01,-3.509639297571357730e+01,1.558650469937140315e+02
-7.750904973602921189e+01,-3.510137957166657685e+01,1.558652534256179365e+02
-7.747932550367400495e+01,-3.509724887200947308e+01,1.558657020912691564e+02
-7.744965774840349582e+01,-3.509058541389435959e+01,1.558662180214451496e+02
-7.741989554765383730e+01,-3.508824858208862452e+01,1.558666190227845618e+02
-7.739006617547299527e+01,-3.508888085192492667e+01,1.558669411822432380e+02
-7.736019731271187538e+01,-3.509144096198136964e+01,1.558672121027198614e+02
-7.733034227964559193e+01,-3.509329690109034772e+01,1.558675017457223362e+02
-7.730030034872088152e+01,-3.510403939517099303e+01,1.558675552532510551e+02
-7.727029287151654557e+01,-3.511287254348891196e+01,1.558676595611620996e+02
-7.724065290396772809e+01,-3.510472450133082845e+01,1.558682149790829499e+02
-7.721074897560632166e+01,-3.510885234082813611e+01,1.558684442653151336e+02
-7.718076291128868149e+01,-3.511674585619680045e+01,1.558685735225886901e+02
-7.715106925147246386e+01,-3.511087889896010950e+01,1.558690683920236779e+02
-7.712173950645116349e+01,-3.508826595412533322e+01,1.558700081062384015e+02
-7.709194422188218709e+01,-3.508726819505422156e+01,1.558703735813900551e+02
-7.706218156140863584e+01,-3.508448570574442726e+01,1.558707865366181125e+02
-7.703234067858774381e+01,-3.508552434607281612e+01,1.558710979316080056e+02
-7.700258307127019464e+01,-3.508268641598215964e+01,1.558715123158299889e+02
-7.697288445571913940e+01,-3.507711015146827549e+01,1.558719994477503121e+02
-7.694320002819587501e+01,-3.507079270565114371e+01,1.558725062904189826e+02
-7.691324902061595026e+01,-3.507664767412281037e+01,1.558726898052714489e+02
-7.688324974320516958e+01,-3.508511397940822718e+01,1.558728038555072146e+02
-7.685361509704995342e+01,-3.507638143249334206e+01,1.558733748842718683e+02
-7.682382827921716739e+01,-3.507464248382678562e+01,1.558737601354360720e+02
-7.679407658473522247e+01,-3.507127343953249721e+01,1.558741886923073992e+02
-7.676436982321749269e+01,-3.506587714683418255e+01,1.558746710915535516e+02
-7.673441397679700060e+01,-3.507205312312891010e+01,1.558748460547748493e+02
